Permit Number,Permittee Name,Project Name,Mechanical Treatment Type (Suspended Growth/Attached Growth),Unit Process,Plant Optimized for Nutrient Reduction (Y/N),Year of Plant Optimization,Design Flow (MGD),Actual Flow From Permit Application (MGD) ,Average Facility Flow 2019 (MGD),Average Facility Flow 2020 (MGD),Average Facility Flow 2021 (MGD),Average Facility Flow 2022 (MGD),Average Facility Flow 2023 (MGD),Parameter,Nutrient Limit or Monitoring Requirement,Frequency,Sample Type,Monthly Average (lb/day),Daily Max (lb/day),Quarterly Average (lb/day),Monthly Average (mg/L),Daily Max (mg/L),Quarterly Average (mg/L),Rolling Average (lb/yr),Annual Average (lb/day),Annual Total (lb/yr),Total Annual Effluent Loading 2019 (lb/yr),Total Annual Effluent Conentration 2019 (mg/L) [CALCULATED],Total Annual Effluent Loading 2020 (lb/yr),"Total Annual Effluent Concentration  2020 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2021 (lb/yr),"Total Annual Effluent Concentration  2021 (mg/L)
[CALCULATED]",Total Annual Effluent Loaading 2022 (lb/yr),"Total Annual Effluent Concentration 2022 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2023 (lb/yr),Total Annual Effluent Concentration 2023 (mg/L) [CALCULATED]
TN0020052,City of Sweetwater,Sweetwater STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,1.5,0.983,1.2,1.24,0.99,1,1.03,"Nitrogen, Total (as N)",Limit,Monthly,Composite,535,22831,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,11582,3.18,10342,2.75,6760,2.25,5529,1.82,4675,1.50
TN0020052,City of Sweetwater,Sweetwater STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,1.5,0.983,1.2,1.24,0.99,1,1.03,"Phosphorous, Total (as P)",Limit,Monthly,Composite,50,4566,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2825,0.94,3177,1.05,Not Recorded,Not Recorded
TN0020079,City of Maryville,Maryville STP,Suspended Growth,Oxidation Ditch,N,N/A,14,13.03,8.78,8.8,6.2,5.7,5.84,"Nitrogen, Total (as N)",Monitor,Weekly/Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Report,Not Limited,Not Limited,128905,4.84,288646,10.81,252626,13.42,233835,13.52,207779,11.72
TN0020079,City of Maryville,Maryville STP,Suspended Growth,Oxidation Ditch,N,N/A,14,13.03,8.78,8.8,6.2,5.7,5.84,"Phosphorous, Total (as P)",Monitor,Weekly/Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Report,Not Limited,Not Limited,26669,1.00,31300,1.17,29880,1.59,38312,2.21,31806,1.79
TN0020095,City of Kingsport,Kingsport STP,Both,Trickling Filter ,N,N/A,12.4,8.18,10.3,10.35,8.9,9.03,9.37,"Nitrogen, Total (as N)",Monitor,Monthly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,319796,10.23,411975,13.11,490369,18.15,471389,17.20,395764,13.92
TN0020095,City of Kingsport,Kingsport STP,Both,Aeration Basin Conventional Extended Air,N,N/A,12.4,8.18,10.3,10.35,8.9,9.03,9.37,"Phosphorous, Total (as P)",Monitor,Monthly/Annual,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,44971,1.44,64337,2.05,62359,2.31,60111,2.19,44971,1.58
TN0020117,City of Gatlinburg,Gatlinburg STP,Attached Growth,Moving Bed Bioreactor,N,N/A,3,2.4,2.52,2.58,2.51,2.47,2.44,"Nitrogen, Total (as N)",Monitor,Weekly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,11532,1.51,78622,10.04,122518,16.08,147726,19.70,165275,22.32
TN0020117,City of Gatlinburg,Gatlinburg STP,Attached Growth,Moving Bed Bioreactor,N,N/A,3,2.4,2.52,2.58,2.51,2.47,2.44,"Phosphorous, Total (as P)",Limit,Annual,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,5479,Not Limited,Not Limited,3565,0.47,4830,0.62,5177,0.68,4763,0.64,4474,0.60
TN0020141,Gallatin Public Utilities,Gallatin STP,Suspended Growth,Oxidation Ditch,N,N/A,12,6.38,8.94,8.69,8.19,7.15,6.91,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,34637,1.28,41410,1.57,30158,1.21,34437,1.59,28282,1.35
TN0020141,Gallatin Public Utilities,Gallatin STP,Suspended Growth,Oxidation Ditch,N,N/A,12,6.38,8.94,8.69,8.19,7.15,6.91,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,9300,0.34,5789,0.22,7836,0.32,7714,0.36,5415,0.26
