Permit Number,Permittee Name,Project Name,Mechanical or Non-Mechanical,County,City,Lat.,Long.,HUC 8 ID#,Watershed Name,Discharge Stream,Class,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0064785,City of Adamsville,Adamsville STP,Non-Mechanical Lagoon,McNairy,Adamsville,35.225187,-88.404993,06040001,Beech River,Snake Creek at mile 8.0,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021539,Town of Alexandria,Alexandria STP,Mechanical - Suspended Growth,DeKalb,Alexandria,36.084183,-86.02652,05130108,Caney Fork River,Hickman Creek at mile 13.1,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0078603,Town of Arlington,Arlington WWTP (11150 Highway 70),Mechanical - Suspended Growth,Shelby,Arlington,35.283333,-89.695833,08010209,Loosahatchie,Loosahatchie River at mile 29.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020737,Town of Ashland City,Ashland City STP,Mechanical - Suspended Growth,Cheatham,Ashland City,36.271679,-87.0667,05130202,Cheatham Lake,Cumberland River Mile 158.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0074764,"Tennessee Wastewater Systems, Inc.",River Road STP - Lost Hollow Subdivision,Non-Mechanical Lagoon,Cheatham,Ashland City,36.213231,-87.00406,05130202,Cheatham Lake,Cumberland River at mile 163.9,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0081574,The Cheatham County Water and Wastewater Authority,Industrial Park POTW,Mechanical - Attached Growth,Cheatham,Ashland City,36.2254,-87.02129,05130202,Cheatham Lake,Cumberland River mile 162.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0082252,Town of Ashland City,New STP located at 269 Tennessee Waltz Parkway,Mechanical - Suspended Growth,Cheatham,Ashland City,36.258412,-87.063495,05130202,Cheatham Lake,Cumberland River at mile 158,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024201,Athens Utilities Board (AUB),Oostanuala STP,Mechanical - Suspended Growth,McMinn,Athens,35.425,-84.590277,06020002,Hiwassee River,Oostanaula Creek Mile 30.1,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0067539,Athens Utilities Board (AUB),North Mouse Creek STP,Mechanical - Suspended Growth,McMinn,Athens,35.451015,-84.653206,06020002,Hiwassee River,North Mouse Creek at mile 24.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0063932,Town of Baileyton,Baileyton STP,Mechanical - Suspended Growth,Greene,Baileyton,36.317239,-82.827746,06010108,Nolichucky,Lick Creek at mile 49.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0066800,City of Bartlett,Bartlett STP No. 1,Mechanical - Suspended Growth,Shelby,Bartlett,35.269747,-89.849647,08010209,Loosahatchie,Loosahatchie River at mile 18.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0068543,City of Bartlett,Barlett WWTP #2,Aerated Lagoon,Shelby,Bartlett,35.269394,-89.787493,08010209,Loosahatchie,Loosahatchie River at mile 21.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0078379,"IRM Utility, Inc.",Riverstone Estates Wastewater Treatment Plant,Non-Mechanical Lagoon,Decatur,Bath Springs,35.41576,-88.04094,06040001,Beech River,Tennessee River at mile 161.6,M,"MW, DI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021121,City of Baxter,Baxter STP,Mechanical - Suspended Growth,Putnam,Baxter,36.145122,-85.645259,05130108,Caney Fork River,Mine Lick Creek at mile 15,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020591,Town of Bell Buckle,Bell Buckle STP,Mechanical - Suspended Growth,Bedford,Bell Buckle,35.5838,-86.3539,06040002,Upper Duck River,Bell Buckle Creek at mile 0.8,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0026247,City of Bells,Bells Wastewater Lagoon,Non-Mechanical Lagoon,Crockett,Bells,35.7035,-89.098943,08010205,South Fork Forked Deer River,South Fork Forked Deer River at mile 36,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0067334,City of Benton,Benton STP,Mechanical - Suspended Growth,Polk,Benton,35.178333,-84.659167,06020003,Ocoee River,Four Mile Creek Mile 1.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
